Mineral,Reference,Analysis Type,Location,Site,Section,Img. Ref. No.,Enclosing Phase,Na2O_pct,MgO_pct,Al2O3_pct,SiO2_pct,K2O_pct,CaO_pct,TiO2_pct,V2O5_pct,Cr2O3_pct,MnO_pct,FeO_pct,NiO_pct,CoO_pct,ZnO_pct,Total_pct,Sumox,Cr_apfu,Ti_apfu,V_apfu,Al_apfu,Fe2_apfu,Fe3_apfu,Mn_apfu,Mg_apfu,Co_apfu,Zn_apfu,Ni_apfu,Tot_cat,Mgno,Fe3no
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,6H,olivine,,4.43,6.62,0.07,,,3.67,0.345144093,36.32,0.33,45.05957346,0.135753071,0.030057374,0.19,,1.61200307,1.185939848,0.114025949,0.00941769,0.322223627,0.824917952,0.243793935,0.011543433,0.272740544,0.000995352,0.005793425,0.004509905,2.99590166,0.248474863,0.139155172
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,6G,olivine,,4.81,7.89,0.15,,,2.19,0.2968201,40.54,0.3,41.18962694,0.128117915,0.035244941,0.16,,1.669365993,1.278247255,0.065704641,0.007820807,0.370843522,0.765039903,0.202903875,0.010133433,0.285960044,0.001127033,0.004711032,0.004110001,2.996601547,0.272083785,0.109559644
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,6C,olivine,,4.72,7.89,0.11,,,2.79,0.343425058,36.8,0.3,43.65958239,0.139723352,0.034176912,0.21,,1.626930571,1.190587957,0.085889224,0.009284805,0.380516278,0.781881066,0.237409713,0.010397744,0.287928609,0.001121387,0.006344508,0.004599213,2.995960504,0.269140031,0.131273366
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,4A,olivine,,5.73,10.78,0.07,,,2.05,0.00107,34.54,0.29,43.54955047,0.0012,0.0012,0.16,,1.646123674,1.104441098,0.06237275,2.86E-05,0.513832484,0.702137985,0.256943601,0.009933961,0.345464959,3.89E-05,0.004777549,3.90E-05,3.000010931,0.329767075,0.137020716
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.62,10.3,0.03,,,2.13,0.00107,34.89,0.33,43.19955733,0.0012,0.0012,0.16,,1.636719059,1.12204304,0.06517919,2.88E-05,0.49377414,0.708166504,0.253786704,0.011369116,0.340779936,3.91E-05,0.004805001,3.93E-05,3.000010789,0.3248783,0.135743569
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,3C,olivine,,5.37,8.73,0.05,,,2.61,0.00107,34.21,0.32,44.48953649,0.0012,0.0012,0.16,,1.592392801,1.130799363,0.082090669,2.96E-05,0.430159278,0.731075422,0.274820161,0.011331481,0.334684748,4.02E-05,0.004938754,4.04E-05,3.000010016,0.31403383,0.149702219
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,1C,olivine,,4.53,7.05,0.04,,,4.66,0.00107,26.73,0.37,53.02941385,0.0012,0.0012,0.13,,1.496710955,0.940034316,0.155937826,3.14E-05,0.369586787,0.837284076,0.378457525,0.013939612,0.300380756,4.28E-05,0.004269264,4.29E-05,3.000007343,0.264032734,0.224194252
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,1A,olivine,,4.01,4.73,0.05,,,6.93,0.00107,25.49,0.32,54.12943128,0.0012,0.0012,0.12,,1.472837507,0.9109566,0.235657841,3.20E-05,0.251983186,0.949126675,0.365695735,0.012251296,0.270209976,4.35E-05,0.004004737,4.36E-05,3.000005127,0.221604079,0.23923017
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.67,10.32,0.04,,,2.05,0.00107,36.18,0.34,42.46957327,0.0012,0.0012,0.15,,1.658542561,1.148218734,0.061905714,2.84E-05,0.48822311,0.706555106,0.239709879,0.011559504,0.339287828,3.86E-05,0.004445415,3.87E-05,3.000011037,0.324415662,0.127766788
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.69,10.34,0.04,,,2.1,0.00107,35.49,0.31,42.69956715,0.0012,0.0012,0.13,,1.647169582,1.134097446,0.063853466,2.86E-05,0.492546777,0.706468087,0.24561153,0.010612319,0.342835506,3.89E-05,0.003879294,3.90E-05,3.000010902,0.326726706,0.131184818
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.59,10.21,0.04,,,2.18,0.00107,34.29,0.3,43.70954759,0.0012,0.0012,0.15,,1.625265712,1.110518502,0.067179322,2.90E-05,0.492908861,0.710825944,0.262175777,0.010408395,0.341349504,3.94E-05,0.004536433,3.95E-05,3.000010651,0.324422609,0.140531376
